affiliation,model_size,type,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,THREAT,PROFANITY,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INFLAMMATORY,LIKELY_TO_REJECT,SPAM,INCOHERENT,UNSUBSTANTIAL,SEXUALLY_EXPLICIT,OBSCENE
progressive,125,human,0.20149297,0.0024986267,0.017364962,0.15556364,0.008065036,0.020442016,0.013933132,0.15012838,0.22746435,0.12690799,0.016329609,0.21660782,0.08323066,0.006959306,0.022089537
progressive,125,human,0.04760506,0.001077652,0.003644289,0.018710041,0.008712323,0.013644327,0.008818057,0.0077473717,0.26006436,0.2512467,0.03576292,0.4139895,0.59314466,0.00604516,0.050440084
progressive,125,human,0.1996317,0.002670288,0.005512681,0.08212569,0.008945347,0.040409464,0.79639494,0.1799393,0.45027637,0.59301156,0.0690642,0.6897751,0.79885787,0.01209032,0.8331572
progressive,125,human,0.026970858,0.000667572,0.0037922803,0.014580919,0.00636914,0.010296722,0.0077133165,0.0258648,0.08340691,0.15438609,0.0493491,0.2053054,0.15395778,0.0029930912,0.020439355
progressive,125,human,0.028502874,0.00088214874,0.0030153254,0.0113889,0.009618527,0.011116544,0.07641236,0.084148444,0.26627278,0.42762148,0.07083363,0.45470354,0.69003594,0.0046002194,0.055963844
progressive,125,human,0.022610499,0.00079631805,0.0019793853,0.012870909,0.0065115434,0.0137468055,0.62273103,0.6846709,0.21446627,0.60799444,0.69513625,0.71386147,0.571342,0.009141461,0.08883209
progressive,125,human,0.055521555,0.0012302399,0.0020071338,0.023866551,0.0063238298,0.011970525,0.2562985,0.90609187,0.38420197,0.42757842,0.056552395,0.67071533,0.5727659,0.005248968,0.04765592
progressive,125,human,0.10870059,0.0025939941,0.016259583,0.030265106,0.03718498,0.020100424,0.015664233,0.24973637,0.70844567,0.3774224,0.16313158,0.7898275,0.179104,0.007047772,0.22529353
progressive,125,human,0.032391842,0.0013637543,0.010211408,0.012604907,0.0072882893,0.0128245065,0.0896635,0.3874177,0.1485134,0.5073349,0.021035245,0.47979718,0.8579436,0.005514365,0.02340477
progressive,125,human,0.013382856,0.0011920929,0.0034408006,0.007360875,0.00756015,0.015010698,0.022848973,0.11211528,0.21219182,0.691599,0.035351682,0.58337927,0.9442431,0.012857023,0.045800578
progressive,125,human,0.7998551,0.34927294,0.04435511,0.42167732,0.056240413,0.79449326,0.0037739489,0.0668068,0.4491722,0.99941486,0.0057977303,0.047102705,0.03942662,0.21693836,0.99369305
progressive,125,human,0.88599813,0.35368225,0.16159154,0.7497506,0.03165977,0.7181329,0.004623162,0.019478537,0.75058323,0.97106767,0.10309074,0.6819263,0.39459714,0.12667102,0.95555556
progressive,125,human,0.00823077,0.00049591064,0.0025343532,0.006781372,0.0064597605,0.010245483,0.0005402697,0.0028344796,0.115869686,0.14174569,0.041236218,0.59951496,0.21349911,0.0039514704,0.0077530895
progressive,125,human,0.37576625,0.013607788,0.14661247,0.36939126,0.0077284453,0.22213541,0.093872555,0.27231067,0.84294665,0.9974353,0.009110061,0.46836337,0.5881409,0.03420676,0.9254658
progressive,125,human,0.030977672,0.001373291,0.006289636,0.014276917,0.0078449575,0.018187506,0.62449056,0.6198004,0.37704253,0.8152655,0.21573266,0.6803121,0.79651964,0.011854411,0.651644
progressive,125,human,0.32182294,0.005531311,0.021585498,0.31740165,0.009178371,0.030138692,0.02150884,0.10037923,0.28322658,0.5499167,0.047947507,0.30823454,0.817954,0.0059861825,0.059108827
progressive,125,human,0.76523775,0.04666401,0.055673428,0.7922567,0.0100069,0.20916378,0.004173203,0.010154026,0.592741,0.9848072,0.0016845183,0.042162273,0.01863229,0.025832001,0.98813224
progressive,125,human,0.025792383,0.0008678436,0.0065486208,0.011882903,0.0069905366,0.012926984,0.0031938648,0.046107266,0.11936628,0.47876522,0.065447025,0.58482563,0.86149126,0.0066349315,0.015542208
progressive,125,human,0.009927189,0.000910759,0.0031818156,0.0067338715,0.007521313,0.012926984,0.16408645,0.06376676,0.052483417,0.81212157,0.4930579,0.70057535,0.8551393,0.01020305,0.026707567
progressive,125,human,0.6827122,0.13336399,0.10221587,0.6306599,0.023889944,0.570067,0.019219762,0.104518466,0.57479125,0.9979535,0.0020831926,0.032450832,0.022549752,0.28650177,0.9912106
progressive,125,human,0.17718399,0.008621216,0.019475231,0.029714199,0.03407705,0.07740857,0.17134327,0.42069957,0.17662399,0.81386137,0.062054496,0.6753852,0.9440822,0.045746468,0.025547072
progressive,125,human,0.4394682,0.015157142,0.01666154,0.40420914,0.008401625,0.4033339,0.0017910181,0.019354383,0.70843726,0.9248177,0.0027194098,0.03243239,0.012713808,0.023590868,0.98813224
progressive,125,human,0.0143253105,0.0006866455,0.0041067624,0.008367881,0.006977591,0.01086035,0.0036953327,0.03604531,0.40949038,0.4612567,0.003178543,0.09857655,0.7770256,0.0052784565,0.012499634
progressive,125,human,0.32919475,0.0051879883,0.005512681,0.3388922,0.012699619,0.04366605,0.037490048,0.13008538,0.2804422,0.76464427,0.034307785,0.6735597,0.38580483,0.0065759546,0.03847082
progressive,125,human,0.37751234,0.02378681,0.035074018,0.37619758,0.012337137,0.33434898,0.54690045,0.6771924,0.22894436,0.97106767,0.6636906,0.86834747,0.751994,0.14190358,0.9254658
progressive,125,human,0.36095104,0.00579834,0.017264472,0.39743927,0.0097738765,0.047674157,0.013726972,0.081766345,0.7279288,0.45624796,0.014086101,0.7915518,0.47750157,0.0068118633,0.060398012
progressive,125,human,0.22177623,0.0075531006,0.018972786,0.03566399,0.13245705,0.058946952,0.5253113,0.2370383,0.2706128,0.766772,0.2895493,0.44631794,0.73663455,0.01981633,0.22173494
progressive,125,human,0.035220183,0.0014591217,0.0027193425,0.014580919,0.009825659,0.012004685,0.01697954,0.0800853,0.113316245,0.5412882,0.0044579995,0.11804889,0.8575819,0.005189991,0.019631555
progressive,125,human,0.16331999,0.007095337,0.008176526,0.021417208,0.13279422,0.025497584,0.002331403,0.011166158,0.45098403,0.8834249,0.040752552,0.7574707,0.751994,0.013387818,0.04907078
